음 식 명,식품중량,에너지(kcal),탄수화물(g),단백질(g),지방(g),당류(g),칼륨(mg),인(mg),나트륨(mg),포화지방산(g),콜레스테롤(mg)
오징어무침,70.40,82.0,7.68,9.7,1.48,4.66,366.0,157.0,190.0,0.3,107.21
오징어볶음,200g,128.0,7.43,9.85,6.52,1.93,278.0,137.0,310.0,1.0,109.18
오징어젓갈,15ml,60.0,4.81,7.9,1.08,1.22,219.0,99.0,1858.0,0.22,93.45
오징어채볶음,70ml,164.0,6.56,25.48,3.41,2.35,263.0,260.0,522.0,0.56,110.69
오징어튀김,100ml,81.0,3.83,5.2,4.69,0.05,94.0,77.0,151.0,0.76,62.14
우거지나물무침,150g,86.0,5.8,3.0,5.67,1.0,128.0,58.0,515.0,0.67,0.87
우거지된장국,450.0,85.97250000000001,13.716,6.444,1.8135,0.0,611.8425,122.0625,1593.99,,0.0
우거지해장국,600.0,158.496,14.8564,14.1856,5.725200000000001,0.0,664.716,237.17200000000003,1972.088,,13.26
우렁된장국,500.0,245.275,21.19,24.72,7.049999999999999,0.0,745.05,270.92499999999995,2150.425,,22.95
우엉조림,30g,188.0,34.8,4.8,3.33,28.43,388.0,147.0,1174.0,0.53,0.0
유과,30g,424.0,74.23,2.81,12.83,24.15,35.0,62.0,23.0,1.37,0.0
유부초밥,300ml,199.0,27.04,5.8,6.92,2.2,52.0,94.0,134.0,1.11,0.0
육개장,440g,30.0,1.49,3.68,0.99,0.76,121.0,42.0,201.0,0.17,10.86
육사시미,150.0,203.55,6.959999999999999,29.28,6.074999999999999,4.095,541.8,252,888.03,,63.45
육전,100.0,197.098,6.724,19.582,9.514,0.299,338.324,173.222,248.684,,91.5
육회,150g,130.0,8.12,9.93,6.43,5.29,236.0,109.0,418.0,2.11,28.09
육회비빔밥,700ml,115.0,17.66,3.9,2.88,0.71,78.0,58.0,77.0,0.65,24.17
인절미,100g,242.0,50.07,5.64,2.16,6.35,128.0,61.0,297.0,0.24,0.0
일반김밥,230g,140.0,19.98,4.84,4.55,0.0,118.0,55.0,307.0,1.1,19.3
일반비빔밥,450g,142.0,18.84,6.86,4.32,0.05,180.0,79.0,232.0,0.95,42.26
일식우동,800ml,71.0,12.76,2.14,1.1,0.23,40.0,22.0,270.0,0.24,0.72
자장면,600g,88.0,14.37,2.69,2.22,6.07,63.0,29.0,307.0,0.38,2.05
자장밥,470g,122.0,15.57,4.27,4.72,0.03,137.0,49.0,236.0,0.58,5.75
잔치국수,800ml,61.0,10.58,2.4,0.84,0.82,83.0,37.0,272.0,0.19,11.76
